"rawname","name","rawaffiliation","affiliation","stance"
"Jorge Pullin","jorge pullin","Horace Hearne Chair in Theoretical Physics, Louisiana State University","louisiana state university","California Letter 2"
"James Purtilo","james purtilo","Associate Professor of Computer Science, University of Maryland, College Park","university of maryland college park","California Letter 2"
"Michael Pustilnik","michael pustilnik","Associate Professor of Physics, Georgia Institute of Technology","georgia institute of technology","California Letter 2"
"Xiaoliang Qi","xiaoliang qi","Professor of Physics, Stanford University","stanford university","California Letter 2"
"Lili Qiu","lili qiu","Professor of Computer Science, The University of Texas at Austin; ACM Fellow, IEEE Fellow","university of texas austin","California Letter 2"
"Dragomir R Radev","dragomir r radev","Professor of Computer Science, Yale University; ACM Fellow","yale university","California Letter 2"
"Leo Radzihovsky","leo radzihovsky","Professor of Physics, University of Colorado at Boulder; Fellow of American Physical Society, Simons Investigator, Apker, Hertz, Packard, Sloan Fellow","university of colorado","California Letter 2"
"Prasad Raghavendra","prasad raghavendra","Associate Professor of Computer Science, University of California, Berkeley","university of california berkeley","California Letter 2"
"Srinivas Raghu","srinivas raghu","Associate Professor of Physics, Stanford University","stanford university","California Letter 2"
"Kianoosh Raika","kianoosh raika","Senior Software Systems Engineer, Red Sash; 20+ years industry","red sash","California Letter 2"
"Nived Rajaraman","nived rajaraman","PhD Student in EECS, University of California, Berkeley","university of california berkeley","California Letter 2"
"Surjeet Rajendran","surjeet rajendran","Associate Professor of Physics, The Johns Hopkins University; Sloan Fellow, New Horizons Prize in Physics, Simons Investigator","johns hopkins university","California Letter 2"
"Aditya Ramamoorthy","aditya ramamoorthy","Professor of Electrical and Computer Engineering and (by courtesy) Mathematics, Iowa State University","iowa state university","California Letter 2"
"Rich S Rana","rich s rana","MD, former Harvard Medical School Instructor, The Permanente Medical Group; Math competition coach/instruction volunteer, San Mateo Foster City School District","harvard university","California Letter 2"
"Gireeja Ranade","gireeja ranade","Assistant Teaching Professor, University of California, Berkeley","university of california berkeley","California Letter 2"
"Antonio Rangel","antonio rangel","Bing Professor of Neuroscience, Behavioral Biology and Economics, California Institute of Technology","california institute of technology","California Letter 2"
"Leonardo M Ranzani","leonardo m ranzani","Experimental Quantum Physicist, Raytheon BBN Technologies","raytheon","California Letter 2"
"Arun Rao","arun rao","Senior Product Manager, Advanced Machine Learning Projects, Meta Inc; Author, History of Silicon Valley. Adjunct Professor at UCLA","meta","California Letter 2"
"Satish Rao","satish rao","Professor of Computer Science, University of California, Berkeley; Fellow of ACM, Fulkerson Prize","university of california berkeley","California Letter 2"
"Usha Rao","usha rao","Associate Professor of Chemistry, Saint Joseph’s University; Bingham Award, Association for Women in Science; Distinguished Lecturer, Association for Women Geoscientists","saint joseph's university","California Letter 2"
"Sofya Raskhodnikova","sofya raskhodnikova","Professor of Computer Science, Boston University","boston university","California Letter 2"
"Meisam Razaviyayn","meisam razaviyayn","Assistant Professor of Industrial and Systems Engineering, University of Southern California","university of southern california","California Letter 2"
"Amelia-ann B Read","amelia ann b read","Assistant Teaching Professor, Computer Science, Colorado School of Mines","colorado school of mines","California Letter 2"
"Evan Reed","evan reed","Associate Professor, Materials Science and Engineering, Stanford University","stanford university","California Letter 2"
"Robert S Regalado","robert s regalado","Teacher/Professor, Mathematics, Miami-Dade County Public Schools/Miami-Dade College","miami dade county public schools","California Letter 2"
"Stuart Reges","stuart reges","Teaching Professor, University of Washington; UW Distinguished Teaching Award","university of washington","California Letter 2"
"Charles Reichhardt","charles reichhardt","Research Physicist, Theoretical Division Los Alamos National Laboratory; Fellow of the American Physical Society","los alamos national laboratory","California Letter 2"
"Daniel Reichman","daniel reichman","Assistant Professor of Computer Science, Worcester Polytechnic Institute","worcester polytechnic institute","California Letter 2"
"Edward G Reinke","edward g reinke","Professor of Mathematics, Concordia University Nebraska","concordia university nebraska","California Letter 2"
"Glenn Reinman","glenn reinman","Professor of Computer Science, University of California, Los Angeles","university of california los angeles","California Letter 2"
"Megan Renz","megan renz","PhD Student, Physics, Cornell University","cornell university","California Letter 2"
"Vladimir Retakh","vladimir retakh","Professor of Mathematics, Rutgers University; Fellow of the AMS","rutgers university","California Letter 2"
"Leo Reyzin","leo reyzin","Professor of Computer Science, Boston University","boston university","California Letter 2"
"Lev Reyzin","lev reyzin","Professor of Mathematics, Statistics, and Computer Science, University of Illinois at Chicago","university of illinois chicago","California Letter 2"
"Rick L Richardson","rick l richardson","Chief Information Officer, Letter Technology Inc","letter technology inc","California Letter 2"
"Oliver C Rickard","oliver c rickard","Senior Staff Software Engineer, Meta","meta","California Letter 2"
"Charles Jess Riedel","charles jess riedel","Senior Research Scientist, NTT Research, Inc.; PhD Physics, UC Santa Barbara","university of california santa barbara","California Letter 2"
"Dima Rinberg","dima rinberg","Professor, Neuroscience Insititute, NYU Medical School","new york university","California Letter 2"
"Dario L Ringach","dario l ringach","Professor of Neurobiology and Psychology, University of California, Los Angeles; AAAS Scientific Freedom and Responsibility awardee","university of california los angeles","California Letter 2"
"Ralph R Ristenbatt III","ralph r ristenbatt iii","Assistant Teaching Professor, Pennsylvania State University","pennsylvania state university","California Letter 2"
"Todor Ristov","todor ristov","Security Software Engineer, Aurora Innovation; MA Computer Science","aurora innovation","California Letter 2"
"Susan M Robbins","susan m robbins","Mathematics Teacher, Cape Fear Academy","cape fear academy","California Letter 2"
"Boyd Roberts","boyd roberts","Private Investor; PhD",NA,"California Letter 2"
"Jason Roberts","jason roberts","Founder, Math Academy","math academy","California Letter 2"
"Phillip Rogaway","phillip rogaway","Professor, Department of Computer Science, University of California, Davis; IACR Fellow, ACM Paris Kanellakis Theory and Practice Award","university of california davis","California Letter 2"
"Vladimir Rokhlin","vladimir rokhlin","Professor of Computer Science and Mathematics, Yale University","yale university","California Letter 2"
"Daniel S Rokhsar","daniel s rokhsar","Professor of Molecular and Cell Biology; Professor of Physics, University of California, Berkeley","university of california berkeley","California Letter 2"
"Jameson Rollins","jameson rollins","Scientist, Lead Software Architect, LIGO; PhD","california institute of technology","California Letter 2"
"Sergey Romanovsky","sergey romanovsky","Sr Software Development Engineer, Amazon; MSc","amazon","California Letter 2"
"Marcus Roper","marcus roper","Professor of Mathematics and Computational Medicine, University of California, Los Angeles","university of california los angeles","California Letter 2"
